#dig start(27;33)
 , , , , , , , , , , , , , , , , , , , , , , , , ,d,d,d, , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , ,d,d,d, ,d,d,d, ,d,d,d, , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , ,d,d,d, ,d,d,d, ,d,d,d, , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , ,d,d,d, , ,d, , ,d,d,d, , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , ,d, , ,d,d,d, , ,d, , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , ,d,d,d, , ,d,d,d,d,d,d,d,d,d, , ,d,d,d, , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , ,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d, , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , ,d,d,d,d,d,d,d,d,d,d,d, , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , ,d,d,d, ,d,d,d,d,d, , , ,d,d,d,d,d, ,d,d,d, , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , ,d,d,d,d,d,d,d,d,d, , , ,d,d,d,d,d,d,d,d,d, , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , ,d,d,d, ,d,d,d,d,d, , , ,d,d,d,d,d, ,d,d,d, , , , , , , , , , , , , , , , 
 , , , , , , , , ,d,d,d, , , , , , , , , ,d,d,d,d,d,d,d,d,d,d,d, , , , , , , , , ,d,d,d, , , , , , , , , 
 , , , , ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, , , , , 
 , , , , ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, , , , , 
 , , , , ,d,d,d, , ,d, , ,d,d,d, ,d,d,d, , ,d,d,d,d,d,d,d,d,d, , ,d,d,d, ,d,d,d, , ,d, , ,d,d,d, , , , , 
 , , , , , ,d, , ,d,d,d, , ,d, , , , , , , ,d, , ,d,d,d, , ,d, , , , , , , ,d, , ,d,d,d, , ,d, , , , , , 
 ,d,d,d, , ,d,d,d,d,d,d,d,d,d, , ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, , ,d,d,d,d,d,d,d,d,d, , ,d,d,d, 
 ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, 
 ,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d, 
 , , , , ,d,d,d,d,d,d,d,d,d,d,d, , , , , , , , , ,d,d,d, , , , , , , , , ,d,d,d,d,d,d,d,d,d,d,d, , , , , 
d,d,d, ,d,d,d,d,d, , , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , , ,d,d,d,d,d, ,d,d,d
d,d,d,d,d,d,d,d,d, , , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , , ,d,d,d,d,d,d,d,d,d
d,d,d, ,d,d,d,d,d, , , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , , ,d,d,d,d,d, ,d,d,d
 , , , , ,d,d,d,d,d,d,d,d,d,d,d, , , , , ,d,d,d, , ,d, , ,d,d,d, , , , , ,d,d,d,d,d,d,d,d,d,d,d, , , , , 
 ,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d, 
 ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, 
 ,d,d,d, , ,d,d,d,d,d,d,d,d,d, , ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, , ,d,d,d,d,d,d,d,d,d, , ,d,d,d, 
 , , , , , ,d, , ,d,d,d, , ,d, , , , , , ,d,d,d, ,d,d,d, ,d,d,d, , , , , , ,d, , ,d,d,d, , ,d, , , , , , 
 , , , , ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d, , ,d,d,d, , ,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, , , , , 
 , , , , ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d,d,d,d,d, , , , , ,d,d,d,d,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, , , , , 
 , , , , ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, , , , , ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, , , , , 
 , , , , , , , , ,d,d,d, , , , , , , , , ,d,d,d, , , , , ,d,d,d, , , , , , , , , ,d,d,d, , , , , , , , , 
 , , , , ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, , , , , ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, , , , , 
 , , , , ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d,d,d,d,d, , , , , ,d,d,d,d,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, , , , , 
 , , , , ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d, , ,d,d,d, , ,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, , , , , 
 , , , , , ,d, , ,d,d,d, , ,d, , , , , , ,d,d,d, ,d,d,d, ,d,d,d, , , , , , ,d, , ,d,d,d, , ,d, , , , , , 
 ,d,d,d, , ,d,d,d,d,d,d,d,d,d, , ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, , ,d,d,d,d,d,d,d,d,d, , ,d,d,d, 
 ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, 
 ,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d, 
 , , , , ,d,d,d,d,d,d,d,d,d,d,d, , , , , ,d,d,d, , ,d, , ,d,d,d, , , , , ,d,d,d,d,d,d,d,d,d,d,d, , , , , 
d,d,d, ,d,d,d,d,d, , , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , , ,d,d,d,d,d, ,d,d,d
d,d,d,d,d,d,d,d,d, , , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , , ,d,d,d,d,d,d,d,d,d
d,d,d, ,d,d,d,d,d, , , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , , ,d,d,d,d,d, ,d,d,d
 , , , , ,d,d,d,d,d,d,d,d,d,d,d, , , , , , , , , ,d,d,d, , , , , , , , , ,d,d,d,d,d,d,d,d,d,d,d, , , , , 
 ,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d, 
 ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, 
 ,d,d,d, , ,d,d,d,d,d,d,d,d,d, , ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, , ,d,d,d,d,d,d,d,d,d, , ,d,d,d, 
 , , , , , ,d, , ,d,d,d, , ,d, , , , , , , ,d, , ,d,d,d, , ,d, , , , , , , ,d, , ,d,d,d, , ,d, , , , , , 
 , , , , ,d,d,d, , ,d, , ,d,d,d, ,d,d,d, , ,d,d,d,d,d,d,d,d,d, , ,d,d,d, ,d,d,d, , ,d, , ,d,d,d, , , , , 
 , , , , ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, , , , , 
 , , , , ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, ,d,d,d, , , , , 
 , , , , , , , , ,d,d,d, , , , , , , , , ,d,d,d,d,d,d,d,d,d,d,d, , , , , , , , , ,d,d,d, , , , , , , , , 
 , , , , , , , , , , , , , , , ,d,d,d, ,d,d,d,d,d, , , ,d,d,d,d,d, ,d,d,d, , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , ,d,d,d,d,d,d,d,d,d, , , ,d,d,d,d,d,d,d,d,d, , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , ,d,d,d, ,d,d,d,d,d, , , ,d,d,d,d,d, ,d,d,d, , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , ,d,d,d,d,d,d,d,d,d,d,d, , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , ,d,d,d, ,d,d,d,d,d,d,d,d,d,d,d, ,d,d,d, , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , ,d,d,d, , ,d,d,d,d,d,d,d,d,d, , ,d,d,d, , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , ,d, , ,d,d,d, , ,d, , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , ,d,d,d, , ,d, , ,d,d,d, , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , ,d,d,d, ,d,d,d, ,d,d,d, , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , ,d,d,d, ,d,d,d, ,d,d,d, , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , ,d,d,d, , , , , , , , , , , , , , , , , , , , , , , , , 
